eventName,eventType,posterIMG,speakerNames,speakerInfos,speakerCreds,targetTracks,semester,startTime,endTime,inPerson,location,involvedClubs,capacity,overview,attendance
Surviving Your First Release,talk,IGDA_Kris_Camp_Talk_Fall25.jpg,Kristofer Camp,kristofer-camp-47bbba196,IconicArts,Production,Fall 2025,2025-10-06T18:00:00,2025-10-06T20:00:00,1,CMACD 103/104,IGDA at Clark,,Join Kristofer Camp as he teaches you how to bring your game from prototype to published release,35
From Menus to Metagames: Beyond Core Gameplay,talk,TBA.jpg,Victoria Caña|Anran Li,victoriacana|,Riot Games|,Production|Design,Spring 2026,2026-02-04T18:00:00,2026-02-04T18:00:00,0,IGDA Clark Discord Stage,IGDA at Clark,,Join Victoria Cana and Anran Li,0
Testing in Games: A Dev's Best Friend,talk,IGDA_Aidan_OKeefe_Talk_Fall25.jpg,Aidan O'Keefe,aidan-okeefe,WB Games - Avalanche,Production|Design,Fall 2025,2025-10-29T17:00:00,2025-10-29T18:00:00,0,IGDA Clark Discord Stage,IGDA at Clark,,Join Aidan O'Keefe describe his experience with playtesting to balance mechanics in Hogwarts Legacy,18
Copying Games for Fun and (Not!) Profit,talk,IGDA_Tim_Fitzrandolph_Talk_Fall25.jpg,Tim FitzRandolph,timothy-fitzrandolph-363b0b3,Walaber,Production|Design,Fall 2025,2025-11-12T18:00:00,2025-11-12T19:00:00,0,IGDA Clark Discord Stage,IGDA at Clark,,Join Tim Fitzrandolph as he shows the value of copying other games for insight on handling complex mechanics.,16
Intro to Unreal Engine 5,workshop,unreal_workshop_spring2024.jpg,Ezra Cove,ezra-cove-65b388359,Clark University,3D Art|Programming,Spring 2024,2025-02-28T13:00:00,2025-02-28T14:00:00,1,CMACD 204,IGDA at Clark,24,"We will be covering basic asset integration, basic scene navigation, and all the things you need to get started in Unreal Engine!",24
My Dog Ate My Homework: Static Analysis and Source Control,talk,greg_kinneman_talk_spring2024.jpg,Greg Kinnemen,gregwhomakesgames,Demiurge Studios,Production|Programming,Spring 2024,2025-02-07T18:30:00,2025-02-07T20:00:00,1,CMACD 103/104,IGDA at Clark,,"Join Greg Kinnemen discuss the industy standards of source control within games, what to expect, and how you can best prepare.",42
General Interest Meeting,info session,GIM_spring2023.jpg,Brien Rondeau|Alex Supron,brien-rondeau-a93829199|alex-supron-a45978193,IGDA at Clark|IGDA at Clark,,Spring 2023,2023-01-26T19:00:00,2023-01-26T20:00:00,1,JC 217,IGDA at Clark,,"Join our General Interest meeting on the 26th! Come hang out, learn about the IGDA, and enjoy free food",12
Meeting MassDigi,talk,meeting_monty_spring2023.jpg,Monty Sharma,montysharma,MassDigi,,Spring 2023,2023-02-09T19:30:00,2023-02-09T20:30:00,1,JC 106,IGDA at Clark,,"Come meet the man, the myth, the legend: Monty Sharma, managing director of MassDiGI. Monty will be speaking about the various opportunities MassDiGI offers for students as well as the important of making connections and how to start networking as a college student!",14
Preparing for Career Success in Game Dev,talk,preparing_for_success_robby_williams_spring2023.jpg,Robby Williams,robbytaku,Epic Games,Production,Spring 2023,2023-02-23T19:30:00,2023-02-23T20:30:00,1,JC 204,IGDA at Clark,,Come hear our good friend Robby Williams talk about how to best prepare yourself for the game industry on February 23rd at 7:30!,15
Surviving the Hunt: Navigating the Unstable Job Market,talk,chloe_tibets_spring2023.jpg,Chloe Tibets,cmtibets,Lesley University,3D Art,Spring 2023,2023-03-30T19:30:00,2023-03-30T20:30:00,1,JC 204,IGDA at Clark,,Join us tonight at 7:30 in JC 204! Chloe Tibets from the Becker IGDA chapter is joining us to give a talk about navigating the job industry! Come get tips and tricks to secure a position in game design!,15
